sector_a,sector_b,n_a,n_b,median_a,median_b,stat,p,p_bonf,significant,cliffs_delta
Consumer Defensive,Financial Services,46593,84461,0.0004358508746387,0.0009099434289456,1930280135.0,1.2006658921246382e-08,6.60366240668551e-07,True,-0.018989979627107016
Consumer Defensive,Technology,46593,102025,0.0004358508746387,0.0009204533706388,2333173495.5,1.2771482703951433e-08,7.024315487173288e-07,True,-0.018365638793000745
Healthcare,Technology,73096,102025,0.00045582183052865,0.0009204533706388,3671897243.0,4.8859624986621364e-08,2.687279374264175e-06,True,-0.015262901992558107
Consumer Defensive,Energy,46593,28479,0.0004358508746387,0.0010620765769828,647979904.5,7.737590944071356e-08,4.255675019239246e-06,True,-0.023333878632887016
Financial Services,Healthcare,84461,73096,0.0009099434289456,0.00045582183052865,3134849964.0,9.933385259098353e-08,5.463361892504094e-06,True,0.015539744415409899
Consumer Defensive,Industrials,46593,86629,0.0004358508746387,0.0008462755078226,1983836145.0,2.9537778953273265e-07,1.6245778424300297e-05,True,-0.0170038456090438
Energy,Healthcare,28479,73096,0.0010620765769828,0.00045582183052865,1061859172.0,5.592697912379026e-07,3.0759838518084647e-05,True,0.020184147638371872
Healthcare,Industrials,73096,86629,0.00045582183052865,0.0008462755078226,3121764140.5,1.358040076805498e-06,7.469220422430238e-05,True,-0.01400850183825126
Energy,Real Estate,28479,38595,0.0010620765769828,0.0005909927088998,560515944.5,1.0117177521286596e-05,0.0005564447636707628,True,0.019910788912171035
Real Estate,Technology,38595,102025,0.0005909927088998,0.0009204533706388,1939651556.5,1.746347915639787e-05,0.0009604913536018829,True,-0.014818912233896578
Financial Services,Real Estate,84461,38595,0.0009099434289456,0.0005909927088998,1654083620.5,2.849437594639521e-05,0.0015671906770517365,True,0.014846112433752064
Industrials,Real Estate,86629,38595,0.0008462755078226,0.0005909927088998,1694045445.0,0.00015740267616930824,0.008657147189311954,True,0.013352879512639273
Consumer Defensive,Utilities,46593,38202,0.0004358508746387,0.00082940784772905,878342411.0,0.0010401996970898937,0.057210983339944156,False,-0.013068355330233636
Consumer Cyclical,Energy,68480,28479,0.0005935399541457,0.0010620765769828,962476804.0,0.0014464223430068442,0.07955322886537643,False,-0.012966756452450781
Communication Services,Energy,28635,28479,0.0005609685204861,0.0010620765769828,401592055.5,0.0017800062544158055,0.0979003439928693,False,-0.015097623420460842
Energy,Utilities,28479,38202,0.0010620765769828,0.00082940784772905,551397755.0,0.0025452133277281716,0.13998673302504944,False,0.013640964287230039
Basic Materials,Energy,24900,28479,0.00047351719543895,0.0010620765769828,349450306.0,0.003989876578267795,0.2194432118047287,False,-0.014421234218802243
Consumer Cyclical,Technology,68480,102025,0.0005935399541457,0.0009204533706388,3465685653.5,0.005517654978688692,0.30347102382787805,False,-0.007915169482695052
